longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.100000,34.030000,24.000000,4144.000000,826.000000,2127.000000,772.000000,2.517200,96000.000000
-117.100000,33.560000,6.000000,1868.000000,289.000000,750.000000,247.000000,4.383300,307600.000000
-117.100000,33.360000,19.000000,3518.000000,658.000000,2091.000000,610.000000,3.261400,168800.000000
-117.100000,33.170000,12.000000,2465.000000,412.000000,1226.000000,428.000000,5.481900,183800.000000
-117.100000,33.150000,5.000000,3159.000000,685.000000,1398.000000,581.000000,3.146700,161100.000000
-117.100000,33.140000,7.000000,10665.000000,2576.000000,4917.000000,2424.000000,2.317100,159500.000000
-117.100000,33.120000,12.000000,961.000000,342.000000,315.000000,201.000000,0.813000,275000.000000
-117.100000,33.000000,5.000000,15502.000000,2613.000000,7417.000000,2358.000000,5.909400,261100.000000
-117.100000,32.970000,17.000000,3167.000000,861.000000,2098.000000,828.000000,2.445900,85800.000000
-117.100000,32.960000,7.000000,3619.000000,770.000000,1134.000000,482.000000,4.127900,167600.000000
-117.100000,32.900000,16.000000,2994.000000,445.000000,1047.000000,437.000000,5.149000,184300.000000
-117.100000,32.830000,16.000000,4214.000000,744.000000,1820.000000,699.000000,4.378300,179500.000000
-117.100000,32.770000,49.000000,4449.000000,711.000000,1606.000000,709.000000,5.776800,281600.000000
-117.100000,32.760000,52.000000,2606.000000,426.000000,883.000000,380.000000,4.281300,270800.000000
-117.100000,32.760000,31.000000,987.000000,267.000000,619.000000,250.000000,2.928600,151800.000000
-117.100000,32.760000,30.000000,1835.000000,474.000000,934.000000,415.000000,2.875000,139600.000000
-117.100000,32.750000,23.000000,1858.000000,551.000000,1506.000000,492.000000,1.744600,85200.000000
-117.100000,32.750000,21.000000,2063.000000,609.000000,1686.000000,558.000000,1.482800,94800.000000
-117.100000,32.750000,20.000000,2355.000000,722.000000,1848.000000,576.000000,2.003600,99200.000000
-117.100000,32.750000,16.000000,2426.000000,799.000000,1505.000000,754.000000,1.644400,103400.000000
-117.100000,32.750000,15.000000,2422.000000,774.000000,2120.000000,715.000000,1.061700,92400.000000
-117.100000,32.750000,11.000000,1976.000000,548.000000,1528.000000,512.000000,1.488600,89800.000000
-117.100000,32.740000,30.000000,1772.000000,500.000000,1389.000000,447.000000,2.364100,94100.000000
-117.100000,32.740000,14.000000,2361.000000,601.000000,1831.000000,526.000000,1.610200,93400.000000
-117.100000,32.730000,24.000000,2927.000000,704.000000,2005.000000,668.000000,2.237500,102900.000000
-117.100000,32.720000,5.000000,1615.000000,387.000000,1094.000000,394.000000,2.202400,137200.000000
-117.100000,32.710000,9.000000,1931.000000,472.000000,1628.000000,445.000000,2.085000,92600.000000
-117.100000,32.710000,25.000000,939.000000,247.000000,1003.000000,240.000000,1.750000,87900.000000
-117.100000,32.700000,42.000000,2002.000000,488.000000,1505.000000,464.000000,1.505700,86300.000000
-117.100000,32.700000,28.000000,633.000000,137.000000,525.000000,170.000000,3.604200,95600.000000
-117.100000,32.690000,37.000000,1269.000000,340.000000,1369.000000,302.000000,2.210200,87200.000000
-117.100000,32.690000,35.000000,1292.000000,272.000000,1183.000000,272.000000,2.054700,98000.000000
-117.100000,32.690000,29.000000,4174.000000,1195.000000,3675.000000,1124.000000,1.811200,103600.000000
-117.100000,32.690000,11.000000,3071.000000,911.000000,2812.000000,774.000000,1.241300,83100.000000
-117.100000,32.680000,49.000000,1412.000000,350.000000,1200.000000,332.000000,2.039800,93600.000000
-117.100000,32.680000,47.000000,771.000000,224.000000,637.000000,212.000000,2.015600,90300.000000
-117.100000,32.680000,47.000000,1044.000000,274.000000,1003.000000,280.000000,1.780200,97800.000000
-117.100000,32.680000,20.000000,1012.000000,269.000000,837.000000,240.000000,2.048800,88900.000000
-117.100000,32.670000,26.000000,2629.000000,763.000000,2721.000000,767.000000,2.098200,109100.000000
-117.100000,32.670000,22.000000,1690.000000,541.000000,1669.000000,494.000000,2.021300,110600.000000
-117.100000,32.670000,15.000000,1635.000000,553.000000,1347.000000,597.000000,1.274500,92900.000000
-117.100000,32.660000,27.000000,1782.000000,560.000000,1785.000000,560.000000,2.154200,106300.000000
-117.100000,32.640000,29.000000,1578.000000,460.000000,1236.000000,461.000000,2.565800,134700.000000
-117.100000,32.590000,21.000000,2350.000000,667.000000,1621.000000,613.000000,2.073400,87500.000000
-117.100000,32.580000,29.000000,1061.000000,202.000000,759.000000,206.000000,4.864600,136800.000000
-117.100000,32.580000,27.000000,2616.000000,591.000000,1889.000000,577.000000,2.382400,127600.000000
-117.100000,32.580000,23.000000,1662.000000,377.000000,1318.000000,386.000000,2.300000,120800.000000
-117.100000,32.580000,17.000000,2046.000000,559.000000,1585.000000,530.000000,2.250000,132800.000000
-117.100000,32.570000,26.000000,2343.000000,371.000000,1221.000000,372.000000,4.360100,144900.000000
-117.100000,32.570000,14.000000,5058.000000,1299.000000,3662.000000,1193.000000,2.325300,133700.000000
-117.100000,32.560000,16.000000,2687.000000,501.000000,1502.000000,480.000000,3.750000,146800.000000
-117.110000,34.430000,14.000000,3026.000000,556.000000,1349.000000,485.000000,2.802100,111200.000000
-117.110000,33.980000,25.000000,1254.000000,312.000000,715.000000,301.000000,2.734400,149000.000000
-117.110000,33.830000,14.000000,2715.000000,500.000000,1540.000000,464.000000,3.803600,139600.000000
-117.110000,33.780000,13.000000,1914.000000,339.000000,930.000000,304.000000,4.187500,161200.000000
-117.110000,33.750000,17.000000,4174.000000,851.000000,1845.000000,780.000000,2.261800,96100.000000
-117.110000,33.740000,18.000000,4799.000000,1035.000000,1966.000000,944.000000,2.118200,71300.000000
-117.110000,33.230000,13.000000,5819.000000,919.000000,2228.000000,866.000000,4.933500,298100.000000
-117.110000,33.190000,15.000000,3154.000000,488.000000,1656.000000,429.000000,5.046100,222400.000000
-117.110000,33.150000,14.000000,8374.000000,1407.000000,2916.000000,1295.000000,4.701900,191100.000000
-117.110000,33.140000,10.000000,3208.000000,636.000000,1395.000000,582.000000,3.445500,190500.000000
-117.110000,33.120000,46.000000,52.000000,13.000000,59.000000,13.000000,3.875000,200000.000000
-117.110000,33.110000,17.000000,2641.000000,627.000000,1167.000000,647.000000,2.287500,132400.000000
-117.110000,32.970000,9.000000,1531.000000,242.000000,850.000000,240.000000,6.086200,263600.000000
-117.110000,32.950000,11.000000,4694.000000,824.000000,2223.000000,783.000000,4.948500,231800.000000
-117.110000,32.910000,15.000000,1840.000000,235.000000,855.000000,241.000000,7.599200,310600.000000
-117.110000,32.900000,16.000000,2043.000000,388.000000,705.000000,352.000000,4.476600,161500.000000
-117.110000,32.840000,16.000000,4608.000000,629.000000,2020.000000,636.000000,6.040000,243000.000000
-117.110000,32.820000,16.000000,4241.000000,892.000000,1771.000000,864.000000,4.375000,166500.000000
-117.110000,32.820000,16.000000,3980.000000,682.000000,3174.000000,647.000000,2.660700,175000.000000
-117.110000,32.810000,15.000000,3428.000000,491.000000,2303.000000,486.000000,2.595300,67500.000000
-117.110000,32.800000,17.000000,3890.000000,586.000000,2791.000000,595.000000,3.219700,67500.000000
-117.110000,32.790000,16.000000,2574.000000,771.000000,1129.000000,721.000000,3.384900,96900.000000
-117.110000,32.790000,16.000000,1791.000000,518.000000,1006.000000,491.000000,3.517900,129300.000000
-117.110000,32.780000,16.000000,2470.000000,830.000000,1170.000000,724.000000,3.556200,73500.000000
-117.110000,32.780000,16.000000,2220.000000,512.000000,930.000000,527.000000,3.652800,133200.000000
-117.110000,32.770000,52.000000,1506.000000,233.000000,478.000000,240.000000,4.387500,300000.000000
-117.110000,32.770000,52.000000,1484.000000,224.000000,498.000000,223.000000,6.605300,331400.000000
-117.110000,32.770000,50.000000,1729.000000,355.000000,617.000000,337.000000,3.670500,167000.000000
-117.110000,32.770000,48.000000,1502.000000,272.000000,590.000000,265.000000,2.595200,190300.000000
-117.110000,32.760000,29.000000,2030.000000,545.000000,1014.000000,518.000000,2.240900,114200.000000
-117.110000,32.760000,28.000000,1457.000000,397.000000,672.000000,342.000000,1.979900,122700.000000
-117.110000,32.760000,21.000000,2226.000000,600.000000,1085.000000,533.000000,2.260400,126300.000000
-117.110000,32.760000,19.000000,2188.000000,616.000000,1304.000000,607.000000,2.085200,114400.000000
-117.110000,32.750000,46.000000,695.000000,182.000000,601.000000,195.000000,2.421900,90600.000000
-117.110000,32.750000,34.000000,2131.000000,594.000000,1373.000000,562.000000,2.113000,102100.000000
-117.110000,32.750000,21.000000,2127.000000,658.000000,1812.000000,603.000000,1.689600,100000.000000
-117.110000,32.750000,20.000000,1667.000000,469.000000,1292.000000,445.000000,2.089300,101100.000000
-117.110000,32.750000,11.000000,1607.000000,478.000000,1384.000000,450.000000,2.050000,100000.000000
-117.110000,32.740000,33.000000,1126.000000,267.000000,621.000000,241.000000,3.242200,123100.000000
-117.110000,32.740000,25.000000,684.000000,190.000000,665.000000,187.000000,2.452400,90300.000000
-117.110000,32.740000,25.000000,2846.000000,644.000000,2272.000000,632.000000,2.200000,98700.000000
-117.110000,32.730000,35.000000,1689.000000,397.000000,1135.000000,366.000000,2.326900,97300.000000
-117.110000,32.730000,34.000000,1096.000000,221.000000,574.000000,223.000000,3.835500,126700.000000
-117.110000,32.720000,25.000000,1491.000000,348.000000,1183.000000,316.000000,1.958300,88600.000000
-117.110000,32.710000,30.000000,1729.000000,457.000000,1673.000000,460.000000,1.700000,85900.000000
-117.110000,32.710000,29.000000,1040.000000,291.000000,1054.000000,297.000000,1.181800,83200.000000
-117.110000,32.700000,37.000000,2045.000000,502.000000,1920.000000,472.000000,1.812500,83300.000000
-117.110000,32.700000,34.000000,2028.000000,522.000000,1797.000000,464.000000,1.740200,79400.000000
-117.110000,32.700000,33.000000,1980.000000,488.000000,1626.000000,428.000000,1.485600,86400.000000
-117.110000,32.690000,39.000000,395.000000,159.000000,620.000000,162.000000,2.725000,86500.000000
-117.110000,32.690000,37.000000,2395.000000,627.000000,2489.000000,599.000000,1.593300,86300.000000
-117.110000,32.690000,36.000000,1421.000000,367.000000,1418.000000,355.000000,1.942500,93400.000000
-117.110000,32.690000,34.000000,1144.000000,295.000000,1271.000000,302.000000,2.090000,91800.000000
-117.110000,32.680000,36.000000,26.000000,14.000000,58.000000,23.000000,1.910700,125000.000000
-117.110000,32.670000,52.000000,280.000000,71.000000,217.000000,71.000000,1.484400,83300.000000
-117.110000,32.670000,52.000000,204.000000,74.000000,248.000000,57.000000,1.796100,47500.000000
-117.110000,32.670000,46.000000,928.000000,236.000000,790.000000,235.000000,1.680600,92500.000000
-117.110000,32.670000,43.000000,515.000000,146.000000,445.000000,140.000000,1.609400,93000.000000
-117.110000,32.640000,23.000000,1619.000000,447.000000,1025.000000,415.000000,1.858000,67500.000000
