"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"5001",-118.11,33.85,36,2418,389,1138,387,4.8393,216300
"5002",-118.11,33.84,37,1588,272,692,245,4.8594,220300
"5003",-118.11,33.84,36,1756,297,798,287,5.5581,218300
"5004",-118.11,33.84,36,1523,263,717,278,4.875,218900
"5005",-118.11,33.84,36,1463,257,722,260,4.8438,226300
"5006",-118.11,33.84,36,1074,188,496,196,4.625,217400
"5007",-118.11,33.83,37,1249,202,517,189,4.4196,223100
"5008",-118.11,33.83,36,1784,303,964,299,4.2703,220900
"5009",-118.11,33.83,36,1726,287,820,288,5.5767,218100
"5010",-118.11,33.83,36,1462,233,664,220,5.1171,225300
"5011",-118.11,33.82,37,1987,347,1095,357,4.3203,232800
"5012",-118.11,33.82,37,1756,345,836,335,4.375,218200
"5013",-118.11,33.82,36,1999,390,887,379,3.8162,221900
"5014",-118.11,33.82,36,1742,340,857,341,4.6875,218200
"5015",-118.11,33.81,37,1694,280,776,271,6.2187,257900
"5016",-118.11,33.81,36,1252,209,558,214,3.9722,235600
"5017",-118.11,33.8,36,1837,319,810,305,4.3897,235000
"5018",-118.11,33.8,36,1680,291,744,280,4.66,244800
"5019",-118.11,33.8,35,1034,180,444,177,5.4602,231600
"5020",-118.11,33.79,36,2223,370,1039,370,5.7942,257000
"5021",-118.11,33.79,36,1993,354,884,337,5.587,244900
"5022",-118.11,33.78,16,3985,567,1327,564,7.9767,500001
"5023",-118.11,33.77,15,9103,1847,3333,1712,5.1508,367300
"5024",-118.11,33.75,24,1608,314,592,314,5.0926,390500
"5025",-118.11,33.75,15,2569,812,785,477,5.4011,346400
"5026",-118.11,33.74,43,1222,303,565,309,4.8482,500001
"5027",-118.11,33.73,32,1258,333,645,334,5.0476,500001
"5028",-118.12,34.71,46,40,10,14,7,1.125,225000
"5029",-118.12,34.71,26,4230,823,2789,793,2.5179,104000
"5030",-118.12,34.7,7,4915,885,2833,874,4.3229,130000
"5031",-118.12,34.69,27,3019,501,1580,523,3.7804,113500
"5032",-118.12,34.69,17,2479,390,1219,363,4.6417,125700
"5033",-118.12,34.68,12,5319,875,2439,779,4.6629,131500
"5034",-118.12,34.6,33,2189,497,1459,443,2.3958,94500
"5035",-118.12,34.58,13,2614,650,1949,537,2.0547,102600
"5036",-118.12,34.56,5,6446,1154,3427,1104,3.9936,148500
"5037",-118.12,34.23,52,433,69,147,53,3.9583,162500
"5038",-118.12,34.19,52,2405,299,970,319,8.7835,444100
"5039",-118.12,34.18,47,2344,513,1537,481,3.4777,230600
"5040",-118.12,34.18,44,2357,342,891,337,6.3467,352700
"5041",-118.12,34.17,52,2948,542,1363,495,4.7098,287900
"5042",-118.12,34.17,52,2166,483,1308,467,3.0417,222600
"5043",-118.12,34.17,52,1835,330,777,317,3.7159,315400
"5044",-118.12,34.17,37,2705,676,1551,608,2.2692,225000
"5045",-118.12,34.15,35,1760,447,984,384,3.4167,198200
"5046",-118.12,34.14,52,2337,352,981,328,5.8692,490400
"5047",-118.12,34.14,25,3420,977,1718,947,3.1033,217900
"5048",-118.12,34.13,52,2935,341,975,327,11.706,500001
"5049",-118.12,34.12,52,2907,317,956,279,15.0001,500001
"5050",-118.12,34.11,52,2787,353,1057,364,10.2317,500001
"5051",-118.12,34.11,48,2124,319,785,319,5.2131,359600
"5052",-118.12,34.1,49,2057,430,1103,414,4.0556,282600
"5053",-118.12,34.1,34,2918,555,1435,568,4.2344,306300
"5054",-118.12,34.09,25,4870,1371,3518,1296,3.2307,188400
"5055",-118.12,34.09,25,3603,1003,2719,913,2.6981,208000
"5056",-118.12,34.08,52,1437,290,980,282,5.3032,245700
"5057",-118.12,34.08,36,2433,585,1565,563,3.2344,234900
"5058",-118.12,34.08,35,2248,615,1762,622,3,253900
"5059",-118.12,34.07,45,1770,423,1410,389,3.0592,212500
"5060",-118.12,34.07,43,1050,252,820,244,2.025,215600
"5061",-118.12,34.06,25,1526,388,1304,378,3.1892,214700
"5062",-118.12,34.06,25,1137,293,800,281,2.4286,233300
"5063",-118.12,34.06,23,1190,347,965,327,2.2261,211800
"5064",-118.12,34.06,17,5137,1614,4945,1535,2.4599,181600
"5065",-118.12,34.05,32,3775,786,2416,792,3.6625,247600
"5066",-118.12,34.04,35,1064,203,608,201,4.0938,246900
"5067",-118.12,34.04,35,1038,209,598,190,5.9214,254900
"5068",-118.12,34.04,34,2103,427,1355,434,4.5795,235300
"5069",-118.12,34.03,20,2595,428,1751,479,5.6112,308000
"5070",-118.12,34.02,36,1595,383,1105,359,2.4286,205600
"5071",-118.12,34.02,25,2655,558,1466,525,3.0529,265800
"5072",-118.12,34.01,40,1417,338,1068,331,2.4259,164600
"5073",-118.12,34.01,33,1956,478,1472,464,1.9867,166300
"5074",-118.12,34,31,3281,768,2385,733,2.7308,173800
"5075",-118.12,33.99,24,1705,479,2037,459,2.4219,137500
"5076",-118.12,33.98,44,932,179,717,180,3.6875,178100
"5077",-118.12,33.97,35,708,145,471,153,3.2,197400
"5078",-118.12,33.97,33,3099,839,2025,750,3.183,191100
"5079",-118.12,33.96,38,2105,348,956,350,4.4125,246000
"5080",-118.12,33.96,38,1301,264,877,275,4.625,191300
"5081",-118.12,33.96,36,1426,235,698,240,4.8523,267300
"5082",-118.12,33.96,34,2863,451,1243,466,6.0723,297200
"5083",-118.12,33.95,36,2752,459,1211,452,5.0526,269800
