"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
-118.36,34.05,47,1424,300,632,278,4.0625,295200
-118.36,34.05,45,2283,509,1093,475,2.5658,252000
-118.36,34.05,45,1879,395,946,409,3.3333,254700
-118.36,34.05,42,1372,275,674,271,2.8793,202100
-118.36,34.04,49,995,184,462,194,2.7917,242000
-118.36,34.04,48,1769,429,993,405,2.3214,139400
-118.36,34.04,45,1767,417,1052,379,3.5161,157000
-118.36,34.04,34,3239,806,2331,765,2.0538,125800
-118.36,34.03,43,1690,379,1017,359,2.1078,133500
-118.36,34.03,38,2365,638,2259,607,2.0879,120700
-118.36,34.03,38,1400,376,1139,315,2.2368,120000
-118.36,34.03,36,1083,342,1023,295,2.1324,143800
-118.36,34.03,35,1819,499,1666,482,1.6452,125900
-118.36,34.02,46,3745,798,1502,808,3.8643,195800
-118.36,34.02,43,1356,333,796,329,1.7159,189700
-118.36,34.01,33,3140,466,1214,464,6.5044,350400
-118.36,33.99,45,2005,368,909,364,4.6406,268900
-118.36,33.99,43,2657,548,1145,524,4.1375,287100
-118.36,33.99,35,3702,648,1449,614,5.3194,313700
-118.36,33.98,45,1559,305,891,341,4.4038,259400
-118.36,33.98,39,813,185,344,154,3.5833,218800
-118.36,33.98,29,2861,816,1715,775,2.7712,160900
-118.36,33.97,19,4651,1281,2917,1121,2.6823,142500
-118.36,33.97,18,1284,283,990,289,4.0179,195800
-118.36,33.96,37,2146,573,2009,592,3.6583,177300
-118.36,33.96,25,1849,518,1498,451,2.8378,170000
-118.36,33.96,21,1802,556,1286,557,2.7284,146900
-118.36,33.96,17,3431,934,2365,810,3.0393,129200
-118.36,33.95,42,2532,627,2038,591,2.875,177500
-118.36,33.95,42,1139,302,1283,306,4.1635,163900
-118.36,33.95,42,1116,303,1082,299,3.7237,170800
-118.36,33.95,26,3231,1089,3193,1020,2.6535,177200
-118.36,33.94,39,1390,410,1666,371,3.3056,156800
-118.36,33.94,38,2169,688,3036,639,2.3125,148500
-118.36,33.94,33,939,284,1309,250,3.4063,152300
-118.36,33.93,44,520,116,392,106,3.0132,202500
-118.36,33.93,30,1132,347,1433,341,2.68,170000
-118.36,33.93,27,4445,1231,3340,1113,3.1656,204500
-118.36,33.92,46,1231,231,793,256,4.1023,226800
-118.36,33.92,26,3695,1144,2308,1009,2.6667,229300
-118.36,33.92,19,2807,883,1546,815,2.6375,233800
-118.36,33.91,42,1949,422,1184,423,4.3333,225600
-118.36,33.91,41,2048,439,1191,429,3.8,222500
-118.36,33.91,36,2064,474,1366,421,4.1,243100
-118.36,33.9,42,1935,388,1136,379,4.74,230000
-118.36,33.9,41,1355,349,655,329,2.9551,205000
-118.36,33.9,39,1166,222,640,206,3.5313,230400
-118.36,33.9,18,3380,922,2276,854,4.0727,214000
-118.36,33.89,40,756,122,371,130,5.0299,329200
-118.36,33.89,37,1719,426,1266,424,3.375,228000
-118.36,33.89,34,760,174,723,198,5.3169,227600
-118.36,33.88,44,1362,237,709,247,4.4271,336200
-118.36,33.88,33,2408,534,1644,523,4.2454,236800
-118.36,33.88,31,2518,543,1107,508,4.7404,295800
-118.36,33.88,28,1313,319,827,308,2.65,260800
-118.36,33.88,26,1375,286,829,278,3.9844,230700
-118.36,33.88,25,2845,710,1611,628,3.2049,267400
-118.36,33.87,22,2114,541,1300,538,3.4208,290000
-118.36,33.87,19,2512,575,1275,544,4.9375,293000
-118.36,33.87,17,1082,291,598,281,3.9868,281900
-118.36,33.86,37,1768,314,802,290,5.0784,295900
-118.36,33.86,37,1249,218,583,214,5.7422,330700
-118.36,33.86,36,681,122,360,128,5.2799,332600
-118.36,33.86,35,2126,434,1044,433,5.5456,297400
-118.36,33.86,34,1865,345,963,302,5.543,305900
-118.36,33.85,36,1390,230,683,219,4.8906,334400
-118.36,33.84,35,1577,279,743,274,5.7654,343000
-118.36,33.84,22,11016,3170,6664,2838,3.703,361300
-118.36,33.83,36,1660,300,943,300,5.1984,353600
-118.36,33.83,35,2828,487,1439,490,5.6013,350200
-118.36,33.83,35,1378,247,645,217,5.9143,343400
-118.36,33.82,36,1784,311,901,293,6.2247,339000
-118.36,33.82,36,1083,187,522,187,5.7765,339500
-118.36,33.81,34,2211,502,1113,488,4.7026,356800
-118.36,33.81,25,9042,2022,4458,1944,4.5592,378800
-118.36,33.8,34,2629,369,966,375,10.1241,500001
-118.36,33.79,34,5166,704,2071,668,8.3609,500001
-118.37,36.19,10,443,111,48,21,3.125,71300
-118.37,34.43,11,17339,2866,8721,2803,5.9507,225200
-118.37,34.24,40,1283,246,594,236,4.1121,229200
-118.37,34.23,32,1444,317,1177,311,3.6,164600
-118.37,34.22,17,1787,463,1671,448,3.5521,151500
-118.37,34.22,11,2127,581,1989,530,2.9028,174100
-118.37,34.21,36,2080,455,1939,484,4.2875,176600
-118.37,34.21,36,1392,326,1181,303,3.1563,176400
-118.37,34.21,34,2272,558,2164,484,3.7143,175700
-118.37,34.2,33,1438,309,1378,306,2.8917,170400
-118.37,34.19,19,2890,821,2203,705,2.6696,185100
-118.37,34.18,42,1140,300,643,252,3.3958,178400
-118.37,34.18,36,1608,373,1217,374,2.9728,190200
-118.37,34.18,35,2949,794,2106,746,2.9228,177300
-118.37,34.18,33,1829,512,1345,500,3.1629,198900
-118.37,34.17,6,854,350,542,321,0.8198,325000
-118.37,34.17,42,600,171,377,181,2.4107,184400
-118.37,34.17,42,1713,416,1349,427,3.2596,191800
-118.37,34.17,15,3327,1011,2683,857,2.3784,185400
-118.37,34.17,10,1431,473,1438,429,2.2756,221400
-118.37,34.16,6,6526,2007,3298,1790,2.7231,250000
-118.37,34.16,25,2450,618,1054,578,3.6375,262500
-118.37,34.16,17,4150,1148,1808,1041,3.5051,232400
-118.37,34.16,10,2606,748,1373,680,3.6128,225000
-118.37,34.15,23,4604,1319,2391,1227,3.1373,263100
-118.37,34.14,8,4382,1560,2138,1411,3.5714,197900
-118.37,34.14,23,1883,512,774,478,3.5096,396400
-118.37,34.14,21,4670,1161,1914,1094,3.7986,367700
-118.37,34.13,28,4287,627,1498,615,8.5677,500001
-118.37,34.12,34,2821,399,843,391,11.615,500001
-118.37,34.11,42,5518,979,1863,957,8.5842,500001
-118.37,34.09,38,4408,1295,1690,1229,3.0156,3e+05
-118.37,34.09,38,1349,344,547,309,3.2159,383300
-118.37,34.09,33,3180,865,1347,841,4.0651,500001
-118.37,34.09,31,6348,1827,2559,1755,3.2818,225000
-118.37,34.09,31,2697,706,1059,689,2.8942,500001
-118.37,34.09,24,630,172,257,147,5.5224,4e+05
-118.37,34.09,22,4247,1253,1766,1170,3.1517,341700
-118.37,34.08,52,1466,254,600,253,5.7524,393600
-118.37,34.08,52,1234,223,543,213,6.0338,423700
-118.37,34.08,28,4376,1202,1847,1128,2.6713,312500
-118.37,34.08,22,3008,938,1224,816,3.2149,3e+05
-118.37,34.07,52,2203,437,899,384,4.25,486900
-118.37,34.07,52,2195,435,884,432,5.24,486400
-118.37,34.07,52,1084,247,468,255,3.4286,474300
-118.37,34.07,50,2519,537,1117,516,4.3667,405600
-118.37,34.07,44,2703,663,1045,619,3.201,287500
-118.37,34.07,39,2309,526,870,546,3.1677,453400
-118.37,34.06,52,843,160,333,151,4.5192,446000
-118.37,34.06,52,2402,506,878,464,4.0217,500001
-118.37,34.06,52,1608,289,630,252,5.5596,500001
-118.37,34.05,52,2346,437,1121,400,4.0583,444300
-118.37,34.05,48,1266,234,539,222,4.005,275000
-118.37,34.05,41,2369,544,1252,522,2.9883,296100
-118.37,34.05,35,2457,552,1159,523,3.0862,345300
-118.37,34.04,52,1197,231,671,219,3.825,278500
-118.37,34.04,43,888,170,514,161,3.1827,202800
-118.37,34.04,43,1465,278,727,290,4.0781,289400
-118.37,34.04,42,1809,424,1094,382,2.767,143000
-118.37,34.04,25,542,161,442,131,2.25,333300
-118.37,34.03,43,1350,287,811,307,3.3636,140900
-118.37,34.03,41,1425,285,838,296,3.9732,188400
-118.37,34.03,39,213,44,138,52,2.125,196400
-118.37,34.03,37,1236,309,966,292,3.0694,122200
-118.37,34.02,44,1944,458,981,377,2.6154,193200
-118.37,34.02,33,2263,430,900,382,4.4028,246800
-118.37,33.99,36,3228,543,1305,520,5.1695,397000
-118.37,33.99,32,4018,564,1400,568,8.6718,439100
-118.37,33.98,39,303,69,131,73,4.3438,331800
-118.37,33.97,41,1833,355,847,348,5.726,287800
-118.37,33.97,32,6699,1781,2725,1544,3.3889,285700
-118.37,33.97,26,6672,1729,3333,1557,2.9646,179800
-118.37,33.97,21,3616,1060,2515,945,2.7464,153100
-118.37,33.96,26,138,23,100,20,4.875,175000
-118.37,33.95,35,924,349,1376,358,2.2297,262500
-118.37,33.95,32,1067,286,1053,277,2.8438,181700
-118.37,33.94,29,2265,813,3425,781,2.3675,149400
-118.37,33.93,46,1130,201,503,196,4.4861,246300
-118.37,33.93,10,199,41,61,56,2.8958,245800
-118.37,33.92,44,938,181,502,171,4.4722,218300
-118.37,33.92,40,928,187,521,185,5.5255,242700
-118.37,33.92,39,1073,206,556,204,4.8611,245600
-118.37,33.92,36,1075,197,509,197,4.9688,238900
-118.37,33.91,41,1869,427,1334,435,3.9355,227800
-118.37,33.9,35,1651,269,707,252,5.6482,294800
-118.37,33.9,32,332,103,177,102,3.3409,256300
-118.37,33.89,21,2696,548,1142,473,5.6091,356800
-118.37,33.88,44,1325,245,669,253,4.4211,324000
-118.37,33.88,27,1688,331,811,327,4.5357,334200
-118.37,33.88,26,2620,530,1282,525,4.4828,340700
